	Phenotype	Top 5 Latent Factor Indices (ordered by variance component)	Top 1 Variance Component	Top 3 Variance Component	Top 5 Variance Component
2091	Arm fat-free mass (left)	78, 79, 85, 23, 41	39.10%	66.11%	81.14%
2092	Trunk fat percentage	33, 23, 49, 50, 30	50.82%	96.36%	97.57%
2093	Trunk predicted mass	78, 85, 63, 79, 23	35.99%	61.58%	78.79%
2094	Body fat percentage	23, 33, 49, 50, 28	33.59%	91.61%	97.49%
2095	Nitrogen dioxide air pollution; 2006	34, 88, 72, 18, 39	94.99%	99.53%	99.62%
2096	Leg fat percentage (right)	28, 23, 49, 22, 50	39.74%	91.50%	97.02%
2097	Impedance of arm (left)	29, 78, 23, 92, 82	84.37%	88.22%	90.21%
2098	Total traffic load on major roads	47, 64, 38, 77, 88	14.35%	28.49%	37.62%
2099	Leg fat percentage (left)	28, 23, 49, 22, 50	35.67%	91.12%	96.76%
2100	Leg predicted mass (right)	78, 79, 23, 41, 12	45.78%	69.39%	79.11%
2101	Arm predicted mass (right)	78, 79, 85, 23, 41	40.88%	65.43%	79.13%
2102	Arm fat percentage (right)	23, 49, 50, 22, 33	34.49%	92.18%	96.15%
2103	Leg predicted mass (left)	78, 79, 23, 41, 12	41.92%	70.73%	81.39%
2104	Traffic intensity on the nearest major road	92, 73, 38, 39, 77	11.51%	29.61%	42.68%
2105	Leg fat-free mass (left)	78, 79, 23, 41, 12	41.75%	70.60%	81.27%
2106	Impedance of leg (right)	25, 29, 82, 78, 23	50.90%	85.67%	91.52%
2107	Leg fat-free mass (right)	78, 79, 23, 41, 12	45.61%	69.10%	78.98%
2108	Basal metabolic rate	78, 79, 23, 41, 85	37.91%	69.75%	82.21%
2109	Inverse distance to the nearest major road	47, 88, 38, 77, 20	25.06%	56.52%	67.55%
2110	Whole body fat-free mass	78, 79, 85, 23, 12	42.24%	68.44%	81.75%
2111	Arm predicted mass (left)	78, 79, 85, 23, 41	38.92%	65.93%	80.99%
2112	Average night-time sound level of noise pollution	47, 23, 79, 54, 77	99.58%	99.66%	99.72%
2113	Average 16-hour sound level of noise pollution	47, 77, 82, 78, 23	99.28%	99.43%	99.53%
2114	Average daytime sound level of noise pollution	47, 23, 79, 78, 77	99.61%	99.69%	99.74%
2115	Average evening sound level of noise pollution	47, 79, 77, 23, 82	99.38%	99.53%	99.60%
2116	Traffic intensity on the nearest road	72, 23, 78, 59, 63	10.78%	24.58%	32.72%
2117	Nitrogen oxides air pollution; 2010	88, 34, 20, 64, 2	96.78%	99.18%	99.31%
2118	Whole body water mass	78, 79, 85, 23, 41	42.80%	68.93%	81.62%
2119	Particulate matter air pollution (pm2.5) absorbance; 2010	88, 34, 27, 20, 51	30.15%	61.38%	73.45%
2120	Arm fat percentage (left)	23, 49, 50, 33, 22	35.00%	91.25%	96.74%
2121	Impedance of whole body	29, 82, 78, 23, 30	66.39%	91.57%	95.21%
2122	Nitrogen dioxide air pollution; 2010	88, 34, 51, 27, 79	88.44%	98.92%	99.36%
2123	Impedance of leg (left)	25, 29, 82, 78, 23	44.52%	84.75%	91.77%
2124	Impedance of arm (right)	29, 82, 78, 23, 30	81.29%	90.10%	92.98%
2125	Nitrogen dioxide air pollution; 2007	34, 88, 89, 78, 51	99.67%	99.75%	99.80%
2126	Particulate matter air pollution 2.5-10um; 2010	38, 73, 89, 77, 88	9.74%	23.50%	34.10%
2127	Arm fat-free mass (right)	78, 79, 85, 23, 41	40.29%	65.26%	78.89%
2128	Trunk fat-free mass	78, 85, 79, 63, 23	36.01%	61.53%	78.52%
2129	cannabis use frequency	92, 62, 20, 23, 38	25.40%	41.90%	51.79%
